name,category,brand,sku,store,base_size,size,unit_type,unit_value,old_price,current_price,discount,price_per_unit,date,link
bahari fry cooking oil 20litres,Cooking Oil,Bahari,Cooking OilBahari20l,E-Mart,20l,20.0,litres,20.0,0.0,5850.0,0.0,292.5,2026-04-20,http://e-mart.co.ke/Bahari-Fry-Cooking-Oil-20litres?search=cooking%20oil&category_id=0
bahari fry cooking oil 5 litres,Cooking Oil,Bahari,Cooking OilBahari5l,E-Mart,5l,5.0,litres,5.0,0.0,1650.0,0.0,330.0,2026-04-20,http://e-mart.co.ke/Bahari-Fry-Cooking-Oil-5-litres?search=cooking%20oil&category_id=0
captain cook pure corn oil 5litres,Cooking Oil,Captain,Cooking OilCaptain5l,E-Mart,5l,5.0,litres,5.0,0.0,2400.0,0.0,480.0,2026-04-20,http://e-mart.co.ke/captain-cook-cooking-oil-5litres?search=cooking%20oil&category_id=0
dola premium atta mark 1 flour 2kg,Wheat Flour,Dola,Wheat FlourDola2kg,E-Mart,2kg,2.0,kg,2.0,0.0,180.0,0.0,90.0,2026-04-20,http://e-mart.co.ke/Dola-Atta-Mark-1-Flour-2kg?search=cooking%20oil&category_id=0
dola vegetable cooking oil 5litres,Cooking Oil,Dola,Cooking OilDola5l,E-Mart,5l,5.0,litres,5.0,0.0,1750.0,0.0,350.0,2026-04-20,http://e-mart.co.ke/dola-cooking-oil-5litres?search=cooking%20oil&category_id=0
elianto corn oil 10litres,Cooking Oil,Elianto,Cooking OilElianto10l,E-Mart,10l,10.0,litres,10.0,0.0,5250.0,0.0,525.0,2026-04-20,http://e-mart.co.ke/eliant-cooking-oil-10litres?search=cooking%20oil&category_id=0
butterfly gram flour 2kg,Wheat Flour,Butterfly,Wheat FlourButterfly2kg,E-Mart,2kg,2.0,kg,2.0,0.0,1030.0,0.0,515.0,2026-04-20,http://e-mart.co.ke/Butterfly-Gram-Flour-2kg?search=wheat%20flour&category_id=0
oboma wheat baking flour 2kg,Wheat Flour,Oboma,Wheat FlourOboma2kg,E-Mart,2kg,2.0,kg,2.0,0.0,189.0,0.0,94.5,2026-04-20,http://e-mart.co.ke/OBOMA_WHEAT_BAKING_FLOUR_2KG?search=wheat%20flour&category_id=0
pembe atta mark 1 fortified wheat flour 2kg,Wheat Flour,Pembe,Wheat FlourPembe2kg,E-Mart,2kg,2.0,kg,2.0,0.0,185.0,0.0,92.5,2026-04-20,http://e-mart.co.ke/Pembe-Atta-Mark-1-Fortified-Wheat-Flour-2kg?search=wheat%20flour&category_id=0
unga exe all purpose wheat flour 2kg,Wheat Flour,Unga,Wheat FlourUnga2kg,E-Mart,2kg,2.0,kg,2.0,0.0,180.0,0.0,90.0,2026-04-20,http://e-mart.co.ke/unga-exe-all-purpose-flour-2kg?search=wheat%20flour&category_id=0
ajab fortified mandazi flour 2kg,Wheat Flour,Ajab,Wheat FlourAjab2kg,E-Mart,2kg,2.0,kg,2.0,0.0,180.0,0.0,90.0,2026-04-20,http://e-mart.co.ke/ajab-fortified-mandazi-flour-2kg?search=maize%20flour&category_id=0
ajab sifted maize meal flour 2kg,Maize Meal,Ajab,Maize MealAjab2kg,E-Mart,2kg,2.0,kg,2.0,0.0,180.0,0.0,90.0,2026-04-20,http://e-mart.co.ke/ajab-sifted-maize-meal-flour-2kg?search=maize%20flour&category_id=0
amaize maize meal flour 2kg,Maize Meal,Amaize,Maize MealAmaize2kg,E-Mart,2kg,2.0,kg,2.0,0.0,215.0,0.0,107.5,2026-04-20,http://e-mart.co.ke/amaize-maize-meal-flour-2kg?search=maize%20flour&category_id=0
